image,prompt
Cliff_Swallow_0003_133496,there is a bird sitting on a barbed wire with a yellow background
Downy_Woodpecker_0116_184326,there is a bird that is sitting on a tree branch
Winter_Wren_0081_190049,there is a small brown bird sitting on a metal fence
American_Pipit_0082_99867,there is a small bird standing in the mud by the water
Prairie_Warbler_0071_173140,there is a yellow bird sitting on a branch of a tree
Field_Sparrow_0071_113747,there is a bird sitting on a branch of a tree
Winter_Wren_0026_189816,there is a small bird sitting on a branch of a tree
Gray_Catbird_0134_20596,there is a small bird that is sitting on the ground
Winter_Wren_0141_190152,there is a small bird perched on a branch of a tree
Horned_Lark_0113_74613,there is a small bird standing in the middle of a field
Yellow_Warbler_0031_176282,there is a yellow bird sitting on a branch of a tree
Bronzed_Cowbird_0089_796220,there is a black bird standing on a ledge near a water fountain
Caspian_Tern_0072_147667,there is a bird that is flying in the sky with its wings spread
Cedar_Waxwing_0107_179098,araffe bird with a red spot on its head sitting on a branch
Hooded_Warbler_0001_164704,there is a small yellow bird standing on the ground
Tree_Swallow_0013_135923,there is a small bird that is sitting on a post
Tennessee_Warbler_0019_174786,there is a yellow bird sitting on a branch of a tree
Black_Tern_0044_144021,there is a bird that is flying in the sky with a stick in its beak
Least_Flycatcher_0054_30450,there is a small bird that is sitting on a persons hand
Yellow_Warbler_0123_176471,there is a yellow bird perched on a branch of a tree
Black_Tern_0023_143985,araffe flying in the sky with its wings spread
Carolina_Wren_0113_186675,araffe sitting on a tree stump with its mouth open
Least_Flycatcher_0026_30434,there is a small bird sitting on a branch in the forest
Bohemian_Waxwing_0030_177635,araffe bird perched on a branch with berries in the background
Pileated_Woodpecker_0074_180306,there is a bird that is standing on a tree in the woods
American_Crow_0079_25463,there is a black bird standing on a rock with a yellow background
Bronzed_Cowbird_0054_24159,there is a bird sitting on a wire with a sky background
Pelagic_Cormorant_0003_23695,there is a bird that is standing on a rock
Cliff_Swallow_0013_133169,there is a bird sitting on a barbed wire with a blurry background
American_Pipit_0006_99857,there is a bird that is standing on the ground
Tree_Swallow_0095_135829,there is a bird that is sitting on a bird feeder
Field_Sparrow_0128_113587,there is a small bird sitting on a fence with a green background
Cliff_Swallow_0065_133858,there is a bird that is sitting on a rope
Savannah_Sparrow_0011_119459,there is a bird sitting on a barbed wire fence
Blue_Jay_0052_63148,arafed blue bird perched on a wooden post with a blurry background
Hooded_Warbler_0013_164627,yellow and black bird perched on a branch of a tree
Winter_Wren_0051_189990,there is a bird that is sitting on a lamp post
Yellow_Warbler_0021_176421,there is a yellow bird sitting on a branch of a tree
Black_Tern_0063_144731,there is a small bird standing on the ground near a puddle
Ovenbird_0093_92705,there is a bird that is standing on the ground in the leaves
Gray_Catbird_0055_20671,there is a small bird perched on a branch in the forest
Bank_Swallow_0018_129891,there is a small bird sitting on a wooden rail
Ovenbird_0081_93115,there is a bird that is sitting on a branch of a tree
Pelagic_Cormorant_0064_23641,there is a bird flying over the water with a fish in its mouth
Prothonotary_Warbler_0046_174104,there is a small yellow and gray bird standing on a wooden floor
Tree_Swallow_0127_135912,there is a bird that is sitting on a branch in the tree
Prothonotary_Warbler_0094_173607,yellow bird with a worm in its mouth on a branch
Savannah_Sparrow_0015_118910,there is a bird that is sitting on a branch with a cloudy sky in the background
Cliff_Swallow_0045_133591,there is a bird that is flying in the sky with its wings spread
American_Pipit_0015_99932,there is a small bird standing on the ground in the grass
Northern_Waterthrush_0038_177027,there is a bird standing in the water with its reflection
Winter_Wren_0049_189504,there is a small bird sitting on a branch in the tree
Prairie_Warbler_0011_172744,yellow and black bird perched on a branch of a tree
Yellow_Warbler_0095_176202,yellow bird perched on a branch of a tree with yellow flowers
Bronzed_Cowbird_0034_796209,there is a black bird sitting on a branch of a tree
American_Pipit_0098_99986,there is a bird that is standing in the grass
Carolina_Wren_0082_186421,there is a small bird that is sitting on a bird feeder
American_Pipit_0119_99622,there is a small bird sitting on a tree stump
American_Pipit_0095_99959,there is a small bird standing on a branch in the water
Cliff_Swallow_0038_133701,there is a bird that is flying in the sky with its wings spread
Northern_Waterthrush_0055_177114,there is a bird that is standing on a branch in the water
Prairie_Warbler_0105_172982,yellow and black bird perched on a branch of a tree
Bank_Swallow_0045_129483,there is a bird that is flying in the sky with its wings spread
Song_Sparrow_0059_120885,there is a bird that is standing on the ground
Tennessee_Warbler_0030_172338,araffe bird sitting on a branch with a blue sky in the background
Black_Tern_0032_144029,araffe flying in the sky with its wings spread
Downy_Woodpecker_0029_184046,there is a bird that is sitting on a bird feeder
Pelagic_Cormorant_0042_23522,there is a bird that is sitting on a rock by the water
Cliff_Swallow_0071_133742,there is a bird that is sitting on a rock
Caspian_Tern_0079_145777,there is a bird that is standing on the sand by the water
Gray_Catbird_0013_20562,there is a bird that is sitting on a log in the grass
Bohemian_Waxwing_0041_177630,araffe bird perched on a branch of a tree with berries
Winter_Wren_0112_189507,there is a small bird perched on a branch of a tree
Northern_Waterthrush_0066_177110,there is a bird standing on the ground in the grass
Black_Tern_0033_144328,arafed bird flying in the sky with its wings spread
Cliff_Swallow_0047_133955,there is a small bird sitting on a wooden bench
Yellow_Warbler_0069_176346,yellow bird with open beak sitting on a branch in a tree
Bank_Swallow_0058_129756,there is a small bird standing on the ground with a plant in its beak
Savannah_Sparrow_0096_120376,there is a bird that is sitting on a branch in the grass
Least_Flycatcher_0067_30397,there is a small bird sitting on a branch of a tree
Pileated_Woodpecker_0105_180246,there is a bird that is standing on the ground with a red hat
Downy_Woodpecker_0061_184285,there is a bird that is sitting on a tree branch
Common_Tern_0067_149540,there is a bird that is standing on a post in the water
Black_Tern_0083_144083,there is a bird that is flying in the sky with its wings spread
Savannah_Sparrow_0059_119810,there is a bird that is sitting on a branch in the tree
Winter_Wren_0103_189509,there is a small brown bird standing on a tree branch
Tree_Swallow_0039_135038,there is a bird that is sitting on a branch
Ovenbird_0099_93148,there is a bird that is standing on the ground in the grass
Prothonotary_Warbler_0097_174554,yellow bird perched on a branch of a tree in a forest
Winter_Wren_0073_190044,there is a small bird perched on a branch of a tree
Horned_Lark_0075_74126,there is a bird that is flying in the air
Song_Sparrow_0107_120990,there is a bird that is sitting on a branch in the tree
Prothonotary_Warbler_0110_173857,there is a yellow bird sitting on a tree stump
Tree_Swallow_0030_134942,arafed bird sitting on a barbed wire with its mouth open
American_Pipit_0059_99628,there is a small bird sitting on a rock in the sun
Pileated_Woodpecker_0124_180168,there is a bird that is standing on a tree branch
American_Pipit_0008_100390,there is a small bird standing on a rock in the desert
American_Crow_0101_25118,there is a black bird standing on the ground in the woods
Gray_Catbird_0130_20328,there is a small bird sitting on a branch in the tree
Blue_Jay_0049_63082,there is a blue bird sitting on a wooden fence with corn
Winter_Wren_0113_189558,there is a small bird that is standing on a rock
Savannah_Sparrow_0061_119783,there is a bird that is sitting on a branch with a flower in it's mouth
Savannah_Sparrow_0052_118583,there is a bird that is standing in the mud
Carolina_Wren_0108_186089,there is a small bird perched on a branch of a tree
Pileated_Woodpecker_0119_180030,araffe on a tree trunk with a clear blue sky in the background
Blue_Jay_0066_61490,there is a blue bird sitting on a branch in the woods
Song_Sparrow_0020_121490,there is a bird that is standing on the ground
Downy_Woodpecker_0043_184314,there is a bird that is sitting on a wooden ledge
Prairie_Warbler_0112_173383,there is a yellow and black bird sitting on a branch
American_Crow_0067_25443,there is a black bird standing on the snow in the woods
Yellow_Warbler_0080_176542,yellow bird perched on a branch with a blue sky in the background
Least_Flycatcher_0001_30221,there is a small bird sitting on a branch with a white background
Downy_Woodpecker_0138_184385,there is a bird that is eating from a bird feeder
Pelagic_Cormorant_0075_23645,there is a bird that is flying over the water
Field_Sparrow_0011_113420,there is a small bird sitting on a branch of a tree
Gray_Catbird_0045_20950,there is a small bird sitting on top of a wooden pole
Song_Sparrow_0055_121158,there is a bird sitting on a branch of a tree
Tree_Swallow_0020_136587,there is a bird that is sitting on top of a roof
Savannah_Sparrow_0017_119171,there is a bird that is sitting on a fence
Bank_Swallow_0020_129747,there is a bird that is sitting on a branch in the wild
Song_Sparrow_0040_121617,there is a bird that is sitting on a tree branch
Cliff_Swallow_0089_133545,there is a bird that is flying in the sky with its wings spread
Pileated_Woodpecker_0067_179979,araffes on a tree trunk with a hole in it
Field_Sparrow_0013_113599,there is a small bird sitting on a branch of a tree
Cedar_Waxwing_0118_178779,araffe bird perched on a pine tree branch with pine cones
Ovenbird_0128_93366,there is a small bird sitting on a branch in the tree
Horned_Lark_0028_74408,there is a bird that is standing in the grass
Northern_Waterthrush_0104_177137,there is a small bird standing on a tree branch in the woods
Prothonotary_Warbler_0109_174121,there is a yellow bird sitting on a tree stump
Black_Tern_0105_144380,there is a bird that is standing on a wooden post
Hooded_Warbler_0036_164779,there is a small yellow bird perched on a branch of a tree
Common_Tern_0100_149541,araffe bird with a black beak and white wings flying in the sky
Horned_Lark_0010_75291,there is a small bird standing on a pile of dirt
Downy_Woodpecker_0007_184051,there is a bird that is sitting on a fence post
Bohemian_Waxwing_0113_177823,araffe bird with a red head and black tail sitting on a tree branch
Bohemian_Waxwing_0060_796642,araffy bird perched on a branch with berries in the background
Tennessee_Warbler_0045_174913,there is a small bird sitting on a branch of a tree
Caspian_Tern_0059_145582,there is a bird flying over a forest with a red beak
Northern_Waterthrush_0006_176988,there is a small bird sitting on a branch in the woods
Cedar_Waxwing_0076_178732,araffe bird perched on a branch of a tree with leaves
Pelagic_Cormorant_0076_23523,there is a bird that is sitting on a rock
Hooded_Warbler_0087_164833,yellow and black bird perched on a branch with a blurry background
Northern_Waterthrush_0046_176984,there is a bird that is standing on a branch in the water
Prairie_Warbler_0127_172913,there is a small yellow bird perched on a branch of a tree
Pelagic_Cormorant_0044_23536,there is a bird that is sitting on a rock
Bronzed_Cowbird_0029_796256,there is a black bird standing on the ground in the dirt
Song_Sparrow_0121_121203,there is a bird that is sitting on a branch with a flower
Savannah_Sparrow_0106_118294,there is a bird sitting on a branch with a green background
Downy_Woodpecker_0004_184648,there is a bird that is sitting on a branch in the tree
Field_Sparrow_0102_113595,there is a bird sitting on a metal rail in front of a bush
Gray_Catbird_0131_19633,there is a small bird standing on the ground in the dirt
Winter_Wren_0122_189475,there is a small bird that is sitting on the ground
Field_Sparrow_0101_113762,there is a small bird sitting on a branch of a tree
Savannah_Sparrow_0057_120016,there is a bird that is sitting on a barbed wire
Prairie_Warbler_0066_173350,yellow and black bird perched on a branch in a tree
Gray_Catbird_0008_20430,there is a bird that is sitting on a branch in the tree
Field_Sparrow_0123_113847,there is a bird that is sitting on a rock in the woods
Prairie_Warbler_0040_173056,yellow and black bird perched on a branch of a tree
Yellow_Warbler_0056_176320,there is a yellow bird sitting on a branch of a tree
Downy_Woodpecker_0062_184343,there is a bird that is sitting on a bird feeder
Song_Sparrow_0088_121615,there is a bird that is standing on a ledge eating
Cliff_Swallow_0052_133055,there is a small bird sitting on a ledge with a yellow background
Tree_Swallow_0044_135984,there is a bird that is sitting on a branch
Gray_Catbird_0125_19833,there is a bird that is sitting on a tree branch
Pileated_Woodpecker_0072_180006,araffe with a red head and a red beak on a tree
Prothonotary_Warbler_0082_173970,yellow bird perched on a branch with a gray background
Field_Sparrow_0034_113364,there is a small bird standing on the ground with a yellow beak
American_Crow_0131_25706,there is a black bird sitting on a wooden bench
Downy_Woodpecker_0100_184584,there is a bird that is sitting on a bird feeder
Bronzed_Cowbird_0076_796235,there is a black bird with red eyes standing on the ground
American_Crow_0021_25137,there is a black bird sitting on a rock in the sun
Prairie_Warbler_0135_172745,araffy yellow bird perched on a branch with a blue sky in the background
American_Pipit_0011_99630,there is a small bird standing on a rock in the mud
Horned_Lark_0130_74001,there is a small bird standing on the sand in the desert
Savannah_Sparrow_0051_118574,there is a small bird standing on the ground in the dirt
Hooded_Warbler_0021_165057,there is a yellow bird sitting on a branch of a tree
Least_Flycatcher_0023_30352,there is a bird that is sitting on a branch in the tree
Pelagic_Cormorant_0061_23548,there is a bird that is flying over the water
Hooded_Warbler_0089_164640,yellow bird perched on a branch of a tree in the dark
Field_Sparrow_0095_113842,there is a bird that is standing in the grass eating
Northern_Waterthrush_0023_177002,there is a small bird sitting on a branch of a tree
Northern_Waterthrush_0103_177162,there is a small bird standing on the ground in the leaves
Bronzed_Cowbird_0031_24139,there is a black bird sitting on a branch in a tree
Cedar_Waxwing_0034_179715,there is a bird that is sitting on a branch
Bohemian_Waxwing_0096_177969,araffe bird perched on a branch with berries in the background
Prairie_Warbler_0126_172931,yellow bird perched on a branch of a tree in a tree
Yellow_Warbler_0034_176204,yellow bird perched on a branch in a tree with green leaves
Bronzed_Cowbird_0040_24134,there is a black bird standing on the grass in the field
Bank_Swallow_0038_129830,there is a small bird sitting on a branch of a tree
Savannah_Sparrow_0139_119444,there is a bird that is sitting on a wooden post
Ovenbird_0096_93131,there is a bird that is standing on the ground in the leaves
Bronzed_Cowbird_0026_796229,there is a black bird standing on the grass in the field
Field_Sparrow_0107_113659,there is a small bird that is standing in the grass
Caspian_Tern_0109_145948,araffe flying in the sky with its wings spread
Horned_Lark_0139_74492,there is a small bird standing on the ground in the dirt
Caspian_Tern_0010_145667,there is a bird that is flying in the sky with a red beak
Pelagic_Cormorant_0063_23515,there is a bird that is sitting on a pole
Tennessee_Warbler_0014_175126,there is a small bird sitting on a blue wire with red berries
Song_Sparrow_0132_121153,there is a bird that is sitting on a branch with a worm in its mouth
Bank_Swallow_0013_129563,arafed bird perched on a wire with its wings spread
Caspian_Tern_0011_146058,araffe flying in the sky with its wings spread
Bronzed_Cowbird_0061_796232,there is a black bird sitting on a branch in a tree
Tennessee_Warbler_0049_175006,there is a small bird perched on a branch of a tree
Horned_Lark_0049_74574,there is a small bird standing in the snow on the ground
Bank_Swallow_0033_129509,there is a bird sitting on a barbed wire fence
Prairie_Warbler_0086_172534,yellow bird perched on a branch of a tree with white flowers
Yellow_Warbler_0013_176437,there is a small yellow bird perched on a branch
Bank_Swallow_0028_129754,arafed bird flying over the water with its wings spread
Least_Flycatcher_0050_30189,there is a small bird sitting on a branch of a tree
Tree_Swallow_0004_135411,arafed bird sitting on a barbed wire with a blue sky in the background
Blue_Jay_0018_63455,there is a blue bird sitting on a branch in the woods
Pileated_Woodpecker_0026_180078,there is a bird that is standing on a log in the dirt
American_Pipit_0099_99971,there is a small bird standing on a rock in the grass
Bank_Swallow_0036_129567,arafed bird perched on a wire with a blue sky in the background
Northern_Waterthrush_0086_177358,there is a small bird perched on a branch of a tree
Ovenbird_0079_92610,there is a bird that is sitting on a branch in the tree
Bronzed_Cowbird_0073_796226,there is a bird that is standing on a bird feeder
Field_Sparrow_0105_113822,there is a small bird perched on a branch of a tree
Carolina_Wren_0028_186526,there is a small bird that is sitting on a bench
Caspian_Tern_0119_145492,araffe flying in the sky with a fish in its beak
Savannah_Sparrow_0043_119362,there is a bird that is sitting on a tree stump
Cliff_Swallow_0085_134338,there is a bird that is sitting on a wooden table
Prairie_Warbler_0025_165306,there is a small yellow bird perched on a branch of a tree
Pelagic_Cormorant_0035_23849,there is a black bird with a blue beak sitting on a rock
Gray_Catbird_0063_20707,there is a bird that is sitting on a metal pole
Bank_Swallow_0006_129652,arafed bird sitting on a wire with its mouth open
Pileated_Woodpecker_0097_180392,araffe with a red head and black beak standing on a tree
Pelagic_Cormorant_0054_23812,there is a bird that is swimming in the water
Northern_Waterthrush_0041_177199,there is a bird that is standing in the water
Pileated_Woodpecker_0083_180038,there is a bird that is sitting on a tree branch
Common_Tern_0057_149749,there is a bird that is flying over the water
Carolina_Wren_0128_186581,araffe standing on a ledge in the snow with a blurry background
Song_Sparrow_0036_121679,there is a bird sitting on a branch with leaves in the background
Northern_Waterthrush_0058_177143,there is a small bird sitting on a branch in the water
Yellow_Warbler_0093_176490,there is a yellow bird sitting on a branch with its mouth open
American_Crow_0016_25112,there is a black bird sitting on a branch of a tree
Blue_Jay_0015_62916,araffy blue jay perched on a branch in a tree
Downy_Woodpecker_0080_184240,there is a small bird that is sitting on a log
Bank_Swallow_0004_129549,there is a small bird standing on the sand in the sun
Cedar_Waxwing_0026_178878,araffe bird perched on a branch of a pine tree
Downy_Woodpecker_0074_183907,there is a bird that is sitting on a tree branch
Field_Sparrow_0043_113607,there is a small bird sitting on a branch of a tree
Yellow_Warbler_0063_176800,there is a yellow bird perched on a branch of a tree
Prothonotary_Warbler_0088_173606,yellow bird perched on a branch in a pond of water
Ovenbird_0101_93104,there is a small bird standing on the ground in the dirt
Gray_Catbird_0117_21333,there is a bird that is sitting on a branch in the tree
American_Crow_0053_25203,there is a black bird sitting on a post in the snow
American_Crow_0110_25541,there is a black bird standing on the ground in the grass
Downy_Woodpecker_0032_184622,araffe perched on a tree branch with a red head
Field_Sparrow_0063_113667,there is a small bird sitting on a branch in the woods
Black_Tern_0091_144063,araffe flying over the water with its wings spread
Field_Sparrow_0060_114177,there is a bird that is sitting on a rock in the grass
Gray_Catbird_0069_21065,there is a bird that is sitting on a wire
Common_Tern_0040_147973,arafed bird sitting on a post in a field of grass
Horned_Lark_0138_74083,araffe bird perched on a barbed wire fence in a field
Common_Tern_0084_147980,there is a bird that is standing on the sand by the water
Common_Tern_0077_149196,there is a bird that is sitting on a rock outside
American_Crow_0127_25412,there is a black bird standing on a rock in the woods
Prairie_Warbler_0137_172610,there is a small yellow bird perched on a branch with leaves
Cliff_Swallow_0061_133259,there is a bird that is sitting on the side of a wall
Winter_Wren_0050_189514,there is a small brown bird sitting on a branch of a tree
Field_Sparrow_0106_113350,there is a small bird sitting on a branch of a tree
Bronzed_Cowbird_0057_24074,there is a bird that is sitting on a branch of a tree
Downy_Woodpecker_0006_184538,there is a bird that is sitting on a tree branch
Downy_Woodpecker_0120_183926,there is a bird that is sitting on a branch in the woods
Carolina_Wren_0119_186153,there is a small brown bird standing on the ground next to a tree
Common_Tern_0001_149721,there is a bird standing on a ledge in the water
Tree_Swallow_0113_136849,there is a bird that is sitting on a post
Common_Tern_0053_148472,there is a bird that is standing on a ledge by the water
Gray_Catbird_0027_20968,there is a bird that is sitting on a branch in the woods
Horned_Lark_0033_74344,there is a bird standing in the snow with its wings spread
Carolina_Wren_0045_186165,there is a small bird sitting on a wicker chair
Caspian_Tern_0012_147632,there is a white bird flying in the sky with its wings spread
Least_Flycatcher_0052_30321,there is a small bird sitting on a branch in the tree
Common_Tern_0108_149672,there is a bird flying over the ocean with its wings spread
Pileated_Woodpecker_0086_180096,there is a bird that is eating from a bird feeder
American_Crow_0104_25086,there is a black bird standing on a rock in the snow
Bronzed_Cowbird_0092_796215,there is a black bird standing on the ground in the grass
Prothonotary_Warbler_0018_174196,there is a small yellow bird perched on a branch in the woods
Hooded_Warbler_0057_164137,there is a small yellow bird sitting on a branch in the tree
American_Crow_0102_25066,there is a black bird sitting on a wooden post
Pelagic_Cormorant_0016_23509,there is a bird that is sitting on a rock by the water
Cedar_Waxwing_0003_178570,araffe bird perched on a branch with a green background
American_Pipit_0024_99813,there is a bird that is standing on the sand
Common_Tern_0064_148761,there is a bird that is flying in the sky with its wings spread
Bank_Swallow_0050_129780,there is a bird that is sitting on top of a pole
American_Crow_0088_25303,there is a black bird standing in the grass on the ground
Prothonotary_Warbler_0019_173838,there is a small bird that is sitting on a branch
Bank_Swallow_0068_129806,there is a bird that is flying in the sky with its wings spread
Tree_Swallow_0023_135345,there is a bird that is sitting on a wooden post
Blue_Jay_0080_61617,there is a blue bird standing on the grass in the field
Hooded_Warbler_0014_164672,there is a small yellow bird perched on a branch of a tree
Yellow_Warbler_0011_176676,there is a yellow bird sitting on a branch of a tree
Least_Flycatcher_0006_30262,there is a small bird sitting on a branch in the tree
Common_Tern_0042_147897,arafed bird flying in the sky with its wings spread
Least_Flycatcher_0013_30240,there is a small bird perched on a branch in the grass
Blue_Jay_0072_62944,there is a small blue bird sitting on a bench in the park
Gray_Catbird_0092_20735,there is a small bird sitting on a branch in the tree
Gray_Catbird_0015_21230,there is a bird that is standing on a orange
Cliff_Swallow_0054_133287,there is a bird that is standing on the ground with its wings spread
Pelagic_Cormorant_0084_23836,there is a bird that is standing on a rock in the water
Pileated_Woodpecker_0070_180034,there is a bird that is standing on a tree branch
Hooded_Warbler_0101_164806,yellow and black bird perched on a branch with a dark background
Hooded_Warbler_0043_164864,there is a yellow bird perched on a branch in the woods
Cedar_Waxwing_0054_178141,araffe bird perched on a branch with a leafy background
Tennessee_Warbler_0034_174854,there is a small bird standing on a rock next to a banana
Yellow_Warbler_0106_176383,there is a yellow bird perched on a branch of a tree
Least_Flycatcher_0007_30339,there is a small bird sitting on a branch in the forest
Yellow_Warbler_0057_176675,there is a yellow bird sitting on a branch in a tree
Winter_Wren_0003_189838,there is a small brown bird standing on a moss covered branch
Tennessee_Warbler_0048_175079,there is a bird that is sitting on a bird feeder
Cedar_Waxwing_0053_178892,araffe bird perched on a branch with a green background
Ovenbird_0023_92534,there is a small bird standing on the ground in the grass
Caspian_Tern_0015_145664,there is a bird that is flying in the sky with a red beak
Least_Flycatcher_0100_30338,there is a small bird that is sitting on a persons hand
Black_Tern_0099_144242,arafed bird sitting on a wooden post with its wings spread
Downy_Woodpecker_0115_184096,there is a bird that is eating from a bird feeder
Black_Tern_0098_144089,there is a bird flying over the water with its wings spread
Cedar_Waxwing_0130_178308,araffe bird with a mohawk sitting on a branch of a tree
Downy_Woodpecker_0123_184692,there is a bird that is sitting on a tree branch
Northern_Waterthrush_0009_177078,there is a small bird sitting on a branch in the woods
Bank_Swallow_0029_129751,there is a small bird sitting on a branch of a tree
Bank_Swallow_0062_129548,arafed bird flying over the water with its wings spread
Blue_Jay_0070_63684,there is a blue bird standing on a table with a plant in the background
Field_Sparrow_0021_113461,there is a small bird sitting on a branch of a tree
American_Crow_0011_25151,there is a black bird sitting on top of a black chair
Bronzed_Cowbird_0016_796245,there is a black bird standing in the grass with a red eye
Cliff_Swallow_0100_133665,there is a small bird sitting on a brick ledge
Tree_Swallow_0058_134987,there is a bird that is sitting on a branch
Pelagic_Cormorant_0002_23680,there is a bird that is sitting on the ledge of a building
Common_Tern_0103_149733,there is a bird that is standing on some wooden boards
Bronzed_Cowbird_0005_24173,there is a black bird with blue feathers sitting on a rock
Pelagic_Cormorant_0102_23778,there is a bird that is sitting on a post
Tennessee_Warbler_0060_174840,there is a small bird sitting on a branch in a tree
Bohemian_Waxwing_0100_796627,araffe bird perched on a branch with berries in the background
Carolina_Wren_0031_186713,there is a small bird standing on a wooden rail
Tennessee_Warbler_0087_174968,there is a small bird sitting on a branch of a tree
Pelagic_Cormorant_0086_23719,there is a bird that is flying over the water
Prothonotary_Warbler_0105_174097,yellow bird perched on a branch with berries in the background
Cliff_Swallow_0063_133852,there is a bird that is flying around a building
Ovenbird_0131_92559,there is a small bird that is standing on the ground
Downy_Woodpecker_0056_183913,there is a bird that is sitting on a tree branch
Tree_Swallow_0043_136878,there is a small bird sitting on a metal rail
Least_Flycatcher_0076_30117,there is a small bird sitting on a branch of a tree
Blue_Jay_0096_63330,there is a blue jay standing in the grass eating something
Tennessee_Warbler_0067_174999,there is a bird that is sitting on a branch with berries
Savannah_Sparrow_0022_118989,there is a bird that is sitting on a branch in the grass
Tree_Swallow_0073_134997,there is a small bird sitting on a branch with a green background
Field_Sparrow_0120_113953,there is a small bird sitting on a branch in the grass
Northern_Waterthrush_0042_177272,there is a bird that is standing on the sand
Common_Tern_0070_150292,there is a bird that is flying in the sky with a twig in its beak
Savannah_Sparrow_0115_118882,there is a bird that is sitting on a leaf
Pelagic_Cormorant_0046_23588,there is a bird that is sitting on a rock
Blue_Jay_0035_63560,there is a blue bird standing on the ground eating seeds
Yellow_Warbler_0122_176182,yellow bird perched on a branch of a tree with leaves
Gray_Catbird_0002_21395,there is a small bird sitting on a branch of a tree
Yellow_Warbler_0017_176888,yellow bird perched on a branch in front of a rock wall
Gray_Catbird_0091_20416,there is a bird that is standing on the edge of a wall
Bohemian_Waxwing_0015_177816,there is a bird sitting on a branch with berries on it
Bohemian_Waxwing_0031_796633,araffe bird perched on a branch with a clear blue sky in the background
Northern_Waterthrush_0062_177364,there is a bird that is sitting on a branch in the woods
American_Crow_0099_25717,there is a black bird standing on a post with its beak open
Hooded_Warbler_0104_164982,there is a small yellow bird perched on a persons hand
Field_Sparrow_0078_113575,there is a bird that is sitting on a water hose
Prothonotary_Warbler_0085_173829,yellow and blue bird perched on a wooden fence post
Gray_Catbird_0127_20034,there is a bird that is sitting on a branch in the tree
American_Pipit_0081_99785,there is a small bird standing on the ground in the dirt
Prothonotary_Warbler_0124_173686,there is a yellow bird sitting on a branch of a tree
Prairie_Warbler_0009_173022,there is a small yellow bird perched on a branch in the woods
Winter_Wren_0038_189510,there is a small bird standing on the ground in the grass
Least_Flycatcher_0024_30230,there is a small bird sitting on a branch in a tree
Bohemian_Waxwing_0098_178009,araffe bird with a red head sitting on a tree branch
Song_Sparrow_0080_121033,there is a bird sitting on a branch of a tree
Ovenbird_0118_93002,there is a bird that is sitting on a branch in the tree
Cliff_Swallow_0060_133280,there is a small bird sitting on a wire with a green background
Song_Sparrow_0126_120901,there is a small bird sitting on a branch of a tree
Northern_Waterthrush_0005_177023,there is a bird that is standing in the dirt
Black_Tern_0020_144163,there is a black and gray bird standing on a wooden ledge
Least_Flycatcher_0034_30151,there is a small bird sitting on a branch in a tree
Cliff_Swallow_0050_134054,arafed bird sitting on a barbed wire with a blue sky in the background
Song_Sparrow_0077_121196,there is a bird that is standing on the ground in the leaves
Bohemian_Waxwing_0075_796678,araffe bird perched on a branch in a tree with snow
American_Pipit_0010_99843,there is a bird sitting on a branch of a tree
Song_Sparrow_0010_121331,there is a small bird sitting on a branch of a tree
American_Pipit_0046_100240,there is a small bird that is walking on the ground
Bohemian_Waxwing_0046_177864,araffe bird sitting on a branch with berries in the background
Winter_Wren_0087_190135,there is a small brown bird perched on a branch
Blue_Jay_0011_63660,there is a small bird with a red beak sitting on a newspaper
Black_Tern_0038_144102,there is a bird flying over the water with its wings spread
Black_Tern_0090_143880,there is a small bird standing on a ledge with a blurry background
Blue_Jay_0075_63021,araffe bird with a piece of food in its mouth
Prothonotary_Warbler_0037_173418,yellow bird perched on top of a metal object with a black background
Downy_Woodpecker_0136_184534,there is a bird that is sitting on a tree branch
Prairie_Warbler_0048_173095,there is a yellow bird sitting on top of a tree branch
Prairie_Warbler_0034_172549,there is a small yellow and black bird perched on a pine tree
Winter_Wren_0056_189508,there is a small bird sitting on a branch in the water
Winter_Wren_0132_189861,there is a small bird perched on a branch of a tree
Northern_Waterthrush_0022_177003,there is a small bird sitting on a branch of a tree
Black_Tern_0082_144372,there is a bird that is flying in the sky with its wings spread
Tennessee_Warbler_0015_174847,there is a small yellow bird perched on a branch of a tree
Downy_Woodpecker_0078_184375,there is a bird that is standing on a tree branch
Blue_Jay_0003_63408,there is a blue bird that is sitting on a bird feeder
Horned_Lark_0104_74142,there is a small bird that is standing on the ground
Gray_Catbird_0006_20867,there is a small bird sitting on a branch in the tree
Prairie_Warbler_0037_172550,yellow bird perched on a branch with a blue sky in the background
Cliff_Swallow_0081_134119,there is a small bird sitting on a ledge outside
Prothonotary_Warbler_0065_173422,yellow bird sitting on a branch with a black beak
American_Crow_0030_25092,there is a black bird standing on the grass in the field
Horned_Lark_0015_74855,there is a small bird standing on the ground near the water
Prairie_Warbler_0050_173281,there is a small bird sitting on a branch of a tree
Northern_Waterthrush_0075_176978,there is a small bird sitting on a branch in the woods
Tree_Swallow_0050_135104,there is a bird that is sitting on a branch with its wings spread
Carolina_Wren_0073_186587,there is a small bird sitting on a branch of a tree
Prothonotary_Warbler_0038_173867,yellow bird perched on a tree branch with a green background
Black_Tern_0096_143917,there is a bird flying over the water with its wings spread
American_Pipit_0035_100181,there is a small bird sitting on a rock by the water
Prairie_Warbler_0120_173097,there is a small yellow bird perched on a branch of a tree
